playerid,Name,Team,W,L,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,ERA,WHIP,FIP,xFIP,WAR
16400,Reynaldo Lopez,White Sox,7,10,32,32,188.2,7.2,3.58,1.19,0.26,75.4 %,33.0 %,9.5 %,3.91,1.27,4.63,5.22,2.2
16943,Sean Newcomb,Braves,12,9,30,30,163.1,8.76,4.41,0.99,0.274,74.7 %,43.5 %,11.2 %,3.91,1.33,4.13,4.33,1.9
14107,Kevin Gausman,- - -,10,11,31,31,183.2,7.25,2.45,1.27,0.299,76.8 %,46.0 %,13.7 %,3.92,1.3,4.32,4.19,2.3
14120,Lance McCullers Jr.,Astros,10,6,22,22,126,9.86,3.57,0.86,0.281,69.2 %,54.8 %,13.6 %,3.93,1.19,3.57,3.48,2.3
11486,Robbie Ray,Diamondbacks,6,2,24,24,123.2,12.01,5.09,1.38,0.292,80.5 %,39.2 %,17.4 %,3.93,1.35,4.31,3.77,1
6895,Chase Anderson,Brewers,9,8,30,30,158,7.29,3.25,1.71,0.239,81.1 %,34.5 %,15.4 %,3.93,1.19,5.22,4.79,0.4
6797,Julio Teheran,Braves,9,9,31,31,175.2,8.3,4.3,1.33,0.217,75.6 %,38.0 %,13.5 %,3.94,1.17,4.83,4.72,0.7
15488,Antonio Senzatela,Rockies,4,5,13,13,73,6.78,2.96,0.99,0.286,75.8 %,43.4 %,10.7 %,3.95,1.3,4.15,4.42,1.1
14309,Frankie Montas,Athletics,5,4,11,11,63.2,6.08,2.97,0.71,0.329,69.7 %,43.3 %,7.6 %,3.96,1.48,3.91,4.61,0.9
4153,Jake Arrieta,Phillies,10,11,31,31,172.2,7.19,2.97,1.09,0.287,68.1 %,51.6 %,14.3 %,3.96,1.29,4.26,4.08,1.9
13361,Steven Matz,Mets,5,11,30,30,154,8.88,3.39,1.46,0.267,74.9 %,48.8 %,16.6 %,3.97,1.25,4.62,4.13,0.9
11589,Jose Urena,Marlins,9,12,31,31,174,6.72,2.64,0.98,0.272,73.2 %,49.6 %,11.5 %,3.98,1.18,4.17,4.32,1.7
15467,Marco Gonzales,Mariners,13,9,29,29,166.2,7.83,1.73,0.92,0.319,72.0 %,44.9 %,11.3 %,4,1.22,3.43,3.59,3.5
13403,Felix Pena,Angels,3,5,17,17,90,8.3,2.8,1,0.287,72.0 %,42.5 %,11.9 %,4,1.22,3.83,3.92,1.5
